Matricule,First_Name,Last_Name,Email,Anonymat_name,Password,Gender,Age,Department,Level,Attendance ,Projects_Score,notecc,SN,Moyenne_Final,Sleep_hour,Stress_Level (1-10), decision, Annee
S1014,Liam,Williams,student14@university.com,Stud 15,1234,Male,19,GM,Bachelor's,5.8180000000000005,5.550000000000001,16.348000000000003,39.86,10.4334,4.412698412698413,2, Echec   ,2020
S1015,Ahmed,Jones,student15@university.com,Stud 16,1234,Male,18,GM,Bachelor's,9.356,5.021000000000001,22.307,38.1425,14.9653,4.2,2, Admis   ,2020
S1016,Maria,Jones,student16@university.com,Stud 17,1234,Female,21,GPR,High School,6.361000000000001,6.635,21.562,35.18,10.5236,3.656716417910448,8, Echec   ,2020
S1017,Liam,Davis,student17@university.com,Stud 18,1234,Female,23,GESI,Bachelor's,5.404,6.497,20.458,29.0975,12.2913,3.716216216216216,8, Admis   ,2020
S1018,Liam,Jones,student18@university.com,Stud 19,1234,Male,20,GP,High School,8.284,5.5520000000000005,14.495999999999997,34.4875,12.5639,1.2602739726027397,8, Admis   ,2020
S1019,John,Johnson,student19@university.com,Stud 20,1234,Male,20,GMP,Master's,8.269,8.256,27.001,38.2825,11.8294,2.949367088607595,5, Echec   ,2020
S1020,Emma,Davis,student20@university.com,Stud 21,1234,Male,18,GPR,PhD,5.4750000000000005,9.96,17.875999999999998,22.5575,11.1737,3.3521126760563384,2, Echec   ,2020
S1021,Ahmed,Jones,student21@university.com,Stud 22,1234,Male,22,GAM,Bachelor's,6.594,9.505,16.036,36.265,13.68,1.0476190476190477,10, Admis   ,2020
S1022,Sara,Davis,student22@university.com,Stud 23,1234,Male,22,GESI,PhD,9.964,6.264,22.118,21.0075,11.8707,3.693333333333333,8, Echec   ,2020
S1023,Liam,Williams,student23@university.com,Stud 24,1234,Female,23,GCI,Bachelor's,8.392000000000001,8.85,23.485,38.79,11.6032,0.6046511627906977,4, Echec   ,2020
S1024,Maria,Williams,student24@university.com,Stud 25,1234,Female,20,GM,Master's,8.65,9.684,17.69,36.495,14.503800000000002,2.0384615384615388,9, Admis   ,2020
S1025,Emma,Davis,student25@university.com,Stud 26,1234,Male,18,GE,PhD,6.065,9.532,16.074,40.1625,14.366699999999998,0.7142857142857143,10, Admis   ,2020
S1026,Emma,Johnson,student26@university.com,Stud 27,1234,Male,18,GMP,PhD,5.394,9.423,22.74,33.3675,14.1849,2.180722891566265,6, Admis   ,2020
S1027,Sara,Johnson,student27@university.com,Stud 28,1234,Male,18,GP,High School,6.385000000000001,8.932,22.498999999999995,31.055,11.1952,2.095890410958904,10, Echec   ,2020
S1028,Liam,Davis,student28@university.com,Stud 29,1234,Female,21,GPR,Master's,6.244,6.465000000000001,24.583,37.95,15.0484,4.204081632653061,7, Admis   ,2020
S1029,Maria,Jones,student29@university.com,Stud 30,1234,Female,23,GMP,PhD,6.173,5.418,18.715,29.6,11.9812,5.499999999999999,3, Echec   ,2020
S1030,Ahmed,Brown,student30@university.com,Stud 31,1234,Female,22,GMP,PhD,5.964,7.439,20.728,32.585,11.5481,4.321428571428571,2, Echec   ,2020
S1031,Ali,Johnson,student31@university.com,Stud 32,1234,Male,22,QHSEI,Master's,7.874,5.274000000000001,23.668,25.3825,10.3196,2.851851851851852,2, Echec   ,2020
S1032,Maria,Smith,student32@university.com,Stud 33,1234,Female,21,GIT,Master's,6.641,9.992,23.081,27.99,13.5408,1.829268292682927,3, Admis   ,2020
S1033,Sara,Williams,student33@university.com,Stud 34,1234,Male,19,GPR,Master's,9.102,6.792000000000001,20.887,24.7775,12.311700000000002,3.208333333333333,7, Admis   ,2020
S1034,Emma,Davis,student34@university.com,Stud 35,1234,Female,21,GP,Master's,5.920000000000001,9.792000000000002,18.654,33.442499999999995,10.918,5.644444444444444,8, Echec   ,2020
S1035,Ahmed,Smith,student35@university.com,Stud 36,1234,Female,23,GIT,Bachelor's,7.323,8.866,22.826999999999995,30.795,10.5813,5.095238095238095,4, Echec   ,2020
S1036,Maria,Davis,student36@university.com,Stud 37,1234,Female,18,GP,Master's,5.0680000000000005,7.056000000000001,22.92,23.805,11.769799999999998,2.716049382716049,3, Echec   ,2020
S1037,Ali,Williams,student37@university.com,Stud 38,1234,Male,21,GP,High School,7.408,5.5920000000000005,13.482,27.6125,10.8189,1.9814814814814807,7, Echec   ,2020
S1038,Ali,Williams,student38@university.com,Stud 39,1234,Male,18,QHSEI,Master's,5.279,6.186,19.207999999999995,41.38,14.4106,1.723684210526316,3, Admis   ,2020
S1039,John,Johnson,student39@university.com,Stud 40,1234,Female,23,GE,PhD,9.889,8.365,19.4,28.512500000000003,11.0042,6.148936170212766,8, Echec   ,2020
S1040,John,Johnson,student40@university.com,Stud 41,1234,Male,24,GESI,Master's,8.953000000000001,9.15,20.292,36.85,11.9804,4.366666666666666,4, Echec   ,2020
S1041,Omar,Smith,student41@university.com,Stud 42,1234,Male,23,GM,High School,7.451,9.897,19.573,42.1175,15.807700000000004,1.9782608695652173,8, Admis   ,2020
S1042,Sara,Davis,student42@university.com,Stud 43,1234,Male,20,GM,High School,5.433,5.6610000000000005,17.638999999999996,42.2775,14.202100000000002,4.65,2, Admis   ,2020
S1043,Liam,Williams,student43@university.com,Stud 44,1234,Male,18,GAM,Master's,7.962000000000001,5.78,21.147,30.875,13.1528,2.4366197183098595,8, Admis   ,2020
S1044,Maria,Smith,student44@university.com,Stud 45,1234,Male,22,GIT,Bachelor's,8.794,5.212,23.226,43.645,16.175400000000003,2.515625,8, Admis   ,2020
S1045,Maria,Brown,student45@university.com,Stud 46,1234,Male,21,GCI,Master's,5.954000000000001,6.3020000000000005,20.822,37.7575,14.167100000000003,2.754098360655738,10, Admis   ,2020
S1046,Liam,Smith,student46@university.com,Stud 47,1234,Male,24,GMP,Master's,7.841,9.105,18.376,31.8775,13.439900000000002,4.795454545454545,3, Admis   ,2020
S1047,Omar,Jones,student47@university.com,Stud 48,1234,Female,23,GP,High School,9.071,5.991,18.105,36.7125,13.9759,4.231884057971014,2, Admis   ,2020
S1048,Emma,Smith,student48@university.com,Stud 49,1234,Male,18,GE,Master's,8.841,7.739000000000001,19.552,40.3775,15.301900000000002,3.40506329113924,7, Admis   ,2020
S1049,Emma,Jones,student49@university.com,Stud 50,1234,Male,24,GM,Bachelor's,9.015,7.231999999999999,13.948999999999998,34.0825,12.8557,6.255813953488372,9, Admis   ,2020
S1050,Omar,Jones,student50@university.com,Stud 51,1234,Female,19,GM,Bachelor's,9.397,6.629000000000001,15.406,34.775,11.1512,3.704918032786886,10, Echec   ,2020
S1051,Emma,Jones,student51@university.com,Stud 52,1234,Female,20,GESI,Bachelor's,9.688,8.092,18.661,34.7425,11.5946,0.9642857142857144,1, Echec   ,2020
S1052,John,Brown,student52@university.com,Stud 53,1234,Female,19,GAM,PhD,7.0280000000000005,7.512,24.112,33.6175,11.0852,1.8823529411764703,5, Echec   ,2020
S1053,Maria,Smith,student53@university.com,Stud 54,1234,Female,23,GMP,PhD,7.844,6.674,19.441,36.905,14.172800000000002,3.358490566037736,3, Admis   ,2020
S1054,Omar,Smith,student54@university.com,Stud 55,1234,Male,19,GMP,PhD,8.953000000000001,8.444,20.119,38.905,15.284200000000002,3.0000000000000004,9, Admis   ,2020
S1055,Maria,Brown,student55@university.com,Stud 56,1234,Female,19,GIT,PhD,8.486,6.4,21.391,40.6975,15.394900000000002,3.469135802469136,8, Admis   ,2020
S1056,Liam,Williams,student56@university.com,Stud 57,1234,Female,20,GPR,Bachelor's,9.978000000000002,8.216,20.968,37.385000000000005,15.309400000000004,3.6222222222222222,9, Admis   ,2020
S1057,Ali,Johnson,student57@university.com,Stud 58,1234,Male,20,GESI,Master's,5.0680000000000005,9.786,23.84,26.4675,13.0323,1.953125,9, Admis   ,2020
S1058,John,Smith,student58@university.com,Stud 59,1234,Male,20,GM,PhD,6.776000000000001,8.645000000000001,18.73,34.035,10.794,1.8611111111111112,10, Echec   ,2020
S1059,Ahmed,Johnson,student59@university.com,Stud 60,1234,Male,24,GE,PhD,6.405,7.0920000000000005,21.842,41.9775,10.8588,2.7857142857142856,3, Echec   ,2020
S1060,John,Davis,student60@university.com,Stud 61,1234,Female,20,GCI,PhD,6.312,8.738,13.590000000000002,36.807500000000005,13.0895,1.608108108108108,7, Admis   ,2020
S1061,Omar,Davis,student61@university.com,Stud 62,1234,Male,19,GM,Bachelor's,6.113,9.046,19.35,44.3875,15.7793,4.557377049180328,5, Admis   ,2020
S1062,Ahmed,Brown,student62@university.com,Stud 63,1234,Female,22,GAM,Bachelor's,8.546,6.629000000000001,26.725,32.135,14.807000000000002,1.8235294117647056,6, Admis   ,2020
S1063,Ali,Davis,student63@university.com,Stud 64,1234,Male,22,GCI,High School,5.424,8.526000000000002,24.839,40.81,10.364,5.518518518518518,8, Echec   ,2020
S1064,Omar,Davis,student64@university.com,Stud 65,1234,Male,20,GMP,Master's,8.708,7.172000000000001,20.701,37.2,14.7562,1.7111111111111112,10, Admis   ,2020
S1065,Sara,Williams,student65@university.com,Stud 66,1234,Female,24,GAM,Master's,8.467,9.093000000000002,18.031,34.4975,10.607,1.089887640449438,8, Echec   ,2020
S1066,Maria,Williams,student66@university.com,Stud 67,1234,Male,21,GCI,PhD,6.254,6.477,15.646,31.395,11.9544,2.4383561643835616,7, Echec   ,2020
S1067,Ali,Williams,student67@university.com,Stud 68,1234,Male,18,GAM,Bachelor's,6.264,9.689,19.212,38.1,14.653,3.6575342465753424,1, Admis   ,2020
S1068,Maria,Davis,student68@university.com,Stud 69,1234,Male,23,GIT,Master's,8.144,7.874,20.051,37.175,14.6488,1.703703703703704,1, Admis   ,2020
S1069,Emma,Brown,student69@university.com,Stud 70,1234,Male,24,GMP,Bachelor's,8.811,6.767,20.923,45.3175,11.0001,4.245901639344262,6, Echec   ,2020
S1070,Sara,Jones,student70@university.com,Stud 71,1234,Male,21,GM,PhD,9.382,7.097,21.002,24.6075,12.4177,2.644067796610169,9, Admis   ,2020
S1071,Sara,Jones,student71@university.com,Stud 72,1234,Female,23,GESI,PhD,9.261,6.739000000000001,21.761,41.0375,11.0525,3.022988505747126,8, Echec   ,2020
S1072,Ali,Johnson,student72@university.com,Stud 73,1234,Female,21,GMP,PhD,9.824,5.731000000000001,15.668,35.2725,13.2991,2.016949152542373,1, Admis   ,2020
S1073,Sara,Jones,student73@university.com,Stud 74,1234,Male,21,GESI,Master's,7.907,5.3420000000000005,25.028,40.0125,15.6579,3.818181818181818,8, Admis   ,2020
S1074,Ahmed,Jones,student74@university.com,Stud 75,1234,Female,22,GE,Master's,9.543,6.609000000000001,19.677,44.697500000000005,16.1053,2.1818181818181817,5, Admis   ,2020
S1075,Sara,Williams,student75@university.com,Stud 76,1234,Female,18,GMP,High School,9.043,7.293000000000001,20.125,44.05,9.5995,1.238095238095238,2, Echec   ,2020
S1076,Maria,Williams,student76@university.com,Stud 77,1234,Female,21,GAM,Master's,9.473,6.809000000000001,22.314,32.3,14.179199999999998,3.4444444444444446,7, Admis   ,2020
S1077,Maria,Davis,student77@university.com,Stud 78,1234,Male,20,QHSEI,Master's,5.058,5.07,23.307,38.255,11.6798,1.7631578947368425,2, Echec   ,2020
S1078,Omar,Johnson,student78@university.com,Stud 79,1234,Male,23,GPR,Bachelor's,9.83,7.895,20.855,30.9975,11.1422,4.660377358490566,4, Echec   ,2020
S1079,Maria,Smith,student79@university.com,Stud 80,1234,Male,24,GE,Bachelor's,7.368000000000001,5.724,25.871,35.2575,14.8441,3.0779220779220777,4, Admis   ,2020
S1080,Omar,Johnson,student80@university.com,Stud 81,1234,Female,22,GCI,Bachelor's,8.991,6.055,21.924,28.79,13.152,2.121212121212121,5, Admis   ,2020
S1081,Maria,Johnson,student81@university.com,Stud 82,1234,Female,23,GMP,Master's,5.636,5.604,20.472,43.1575,11.597,4.138888888888889,6, Echec   ,2020
S1082,Ahmed,Brown,student82@university.com,Stud 83,1234,Male,20,GESI,Master's,6.98,7.602,19.083,43.485,15.43,5.634615384615384,2, Admis   ,2020
S1083,Liam,Davis,student83@university.com,Stud 84,1234,Male,20,GP,PhD,6.357,5.476,25.409,26.03,10.0801,5.8125,8, Echec   ,2020
S1084,Omar,Brown,student84@university.com,Stud 85,1234,Female,21,GE,Bachelor's,6.458,6.282,19.564,25.4975,11.560299999999998,4.5813953488372094,9, Echec   ,2020
S1085,John,Johnson,student85@university.com,Stud 86,1234,Female,20,GM,PhD,5.616,7.259,21.665,35.555,10.0685,1.888888888888889,3, Echec   ,2020
S1086,Emma,Johnson,student86@university.com,Stud 87,1234,Male,18,GIT,Master's,9.029000000000002,5.839,23.065999999999995,35.1575,14.6183,1.6842105263157896,7, Admis   ,2020
S1087,Ali,Johnson,student87@university.com,Stud 88,1234,Female,20,GAM,Bachelor's,5.046,7.231000000000001,19.914,42.135,14.8652,0.981818181818182,4, Admis   ,2020
S1088,Maria,Jones,student88@university.com,Stud 89,1234,Female,21,GM,Master's,6.563,6.714,19.338999999999995,31.385,12.800199999999998,2.536585365853659,10, Admis   ,2020
S1089,Sara,Brown,student89@university.com,Stud 90,1234,Female,23,GP,High School,5.872,9.303,23.571,32.3825,10.9395,2.292682926829269,4, Echec   ,2020
S1090,Liam,Johnson,student90@university.com,Stud 91,1234,Female,20,GMP,PhD,7.945,8.975,20.919,30.225,13.612800000000002,4.404255319148936,1, Admis   ,2020
S1091,Maria,Williams,student91@university.com,Stud 92,1234,Female,22,GP,Bachelor's,6.271000000000001,9.964,24.961,35.480000000000004,15.3352,2.552631578947368,5, Admis   ,2020
S1092,Sara,Davis,student92@university.com,Stud 93,1234,Female,24,GP,Bachelor's,6.295000000000001,7.645,18.322,29.07,12.2664,1.5272727272727271,6, Admis   ,2020
S1093,Emma,Davis,student93@university.com,Stud 94,1234,Female,22,GAM,Master's,7.442,7.877,24.608999999999995,26.3925,10.4519,3.555555555555556,5, Echec   ,2020
S1094,Emma,Williams,student94@university.com,Stud 95,1234,Male,22,GP,Master's,8.263,9.733,16.116999999999997,33.64,13.5506,2.258064516129032,6, Admis   ,2020
S1095,Emma,Davis,student95@university.com,Stud 96,1234,Male,23,QHSEI,PhD,5.607,6.998000000000001,21.324,33.675,13.5208,2.557142857142857,3, Admis   ,2020
S1096,Sara,Jones,student96@university.com,Stud 97,1234,Female,19,QHSEI,Master's,5.878,7.778,22.288,39.985,15.1858,2.4736842105263155,2, Admis   ,2020
S1097,Maria,Jones,student97@university.com,Stud 98,1234,Female,24,GE,PhD,6.236000000000001,6.8950000000000005,21.622,35.38,11.3942,1.25,5, Echec   ,2020
S1098,Emma,Smith,student98@university.com,Stud 99,1234,Female,22,GE,Bachelor's,9.869,7.729000000000001,22.659,39.9125,16.0339,3.635135135135135,6, Admis   ,2020
S1099,Ahmed,Smith,student99@university.com,Stud 100,1234,Male,22,GESI,Master's,6.986000000000001,5.404,16.313999999999997,44.9825,14.7373,0.9886363636363634,10, Admis   ,2020
S1100,Omar,Smith,student100@university.com,Stud 101,1234,Male,19,GP,PhD,7.995000000000001,8.919,18.301,30.6725,13.177500000000002,2.684931506849315,6, Admis   ,2020
S1101,Sara,Davis,student101@university.com,Stud 102,1234,Female,23,GESI,Bachelor's,6.208,9.926000000000002,20.414,41.68,15.6456,4.044776119402985,5, Admis   ,2020
S1102,Sara,Jones,student102@university.com,Stud 103,1234,Male,24,GP,Master's,7.452,5.329000000000001,21.316,42.2,11.8196,2.1875,2, Echec   ,2020
S1103,Maria,Jones,student103@university.com,Stud 104,1234,Female,22,GIT,Bachelor's,5.371,9.005,22.961,42.4725,15.961899999999998,2.154929577464789,1, Admis   ,2020
S1104,Sara,Jones,student104@university.com,Stud 105,1234,Female,21,GM,Bachelor's,5.174,6.2090000000000005,15.992,44.565,9.7118,2.028169014084507,10, Echec   ,2020
S1105,Sara,Williams,student105@university.com,Stud 106,1234,Female,23,GM,Master's,7.344,5.988,18.578,44.3325,9.8832,1.0140845070422535,6, Echec   ,2020
S1106,Emma,Jones,student106@university.com,Stud 107,1234,Female,24,GM,PhD,6.993000000000001,8.467,18.15,39.8175,14.6855,1.8352941176470587,1, Admis   ,2020
S1107,Maria,Williams,student107@university.com,Stud 108,1234,Female,22,GE,PhD,5.684000000000001,5.221,19.156,29.0375,11.8197,2.236842105263158,1, Echec   ,2020
S1108,Emma,Smith,student108@university.com,Stud 109,1234,Female,22,GMP,High School,8.438,7.316,16.662999999999997,31.0725,12.697900000000002,0.7215189873417721,6, Admis   ,2020
S1109,Omar,Smith,student109@university.com,Stud 110,1234,Female,19,GM,Bachelor's,9.965000000000002,5.007000000000001,18.589,33.8975,11.1801,3.071428571428572,1, Echec   ,2020
S1110,Liam,Davis,student110@university.com,Stud 111,1234,Male,24,QHSEI,PhD,6.978000000000001,7.772,21.523,32.537499999999994,10.8174,1.3518518518518516,2, Echec   ,2020
S1111,Omar,Smith,student111@university.com,Stud 112,1234,Female,21,GM,Bachelor's,8.123000000000001,7.31,18.779,42.395,15.3214,5.46,1, Admis   ,2020
S1112,Liam,Davis,student112@university.com,Stud 113,1234,Male,23,GPR,PhD,9.815,9.577,16.473,25.2475,10.1312,2.6962025316455698,7, Echec   ,2020
S1113,Emma,Johnson,student113@university.com,Stud 114,1234,Female,20,GMP,Bachelor's,9.158,8.601,17.751999999999995,36.2425,9.8684,0.8533333333333334,4, Echec   ,2020
S1114,Omar,Johnson,student114@university.com,Stud 115,1234,Female,18,GPR,Bachelor's,7.318000000000001,5.63,20.365,46.5475,15.972099999999998,4.508771929824561,4, Admis   ,2020
S1115,Maria,Brown,student115@university.com,Stud 116,1234,Male,21,GPR,Bachelor's,8.687000000000001,6.773000000000001,21.386000000000003,30.0525,13.3797,2.978723404255319,4, Admis   ,2020
S1116,Ali,Davis,student116@university.com,Stud 117,1234,Male,20,GIT,High School,5.641,9.658,16.181,47.625,15.821000000000002,1.2926829268292683,5, Admis   ,2020
S1117,Emma,Brown,student117@university.com,Stud 118,1234,Female,21,GESI,High School,7.561,8.627,17.506,35.505,13.8398,1.915254237288136,9, Admis   ,2020
S1118,Liam,Brown,student118@university.com,Stud 119,1234,Male,24,QHSEI,Bachelor's,6.3950000000000005,7.971,20.17,45.835,10.0447,4.061224489795918,5, Echec   ,2020
S1119,Ahmed,Johnson,student119@university.com,Stud 120,1234,Female,20,GESI,PhD,5.806000000000001,7.795000000000001,21.354,40.88249999999999,10.1555,1.4893617021276595,10, Echec   ,2020
S1120,Liam,Davis,student120@university.com,Stud 121,1234,Female,24,GMP,High School,7.131,6.990000000000001,16.164,34.535,12.964,0.7558139534883721,2, Admis   ,2020
S1121,Ahmed,Johnson,student121@university.com,Stud 122,1234,Male,20,GE,Master's,5.655,7.926000000000001,15.686,37.525000000000006,13.3584,4.404255319148936,8, Admis   ,2020
S1122,Sara,Brown,student122@university.com,Stud 123,1234,Male,21,GE,PhD,8.495000000000001,8.858,18.902,36.215,14.494000000000003,5.086206896551724,8, Admis   ,2020
S1123,Omar,Davis,student123@university.com,Stud 124,1234,Male,19,GMP,Master's,7.281000000000001,5.638000000000001,12.971000000000002,41.6225,9.7145,2.375,9, Echec   ,2020
S1124,Ahmed,Brown,student124@university.com,Stud 125,1234,Male,21,GP,Bachelor's,7.656000000000001,9.849,20.246,47.21,16.992200000000004,2.5500000000000003,4, Admis   ,2020
S1125,Liam,Jones,student125@university.com,Stud 126,1234,Female,24,GPR,Bachelor's,5.732,6.197,19.905,35.230000000000004,13.412800000000002,4.484375,3, Admis   ,2020
S1126,Sara,Davis,student126@university.com,Stud 127,1234,Male,21,GIT,Master's,5.699000000000001,7.239000000000001,20.027,43.5225,15.2975,1.375,10, Admis   ,2020
S1127,Ali,Davis,student127@university.com,Stud 128,1234,Male,20,GM,PhD,7.917000000000001,5.114000000000001,19.29,22.945,11.053200000000002,1.2222222222222223,6, Echec   ,2020
S1128,Maria,Brown,student128@university.com,Stud 129,1234,Male,18,GPR,High School,9.925,7.752,20.19,29.1175,13.3969,4.380952380952381,1, Admis   ,2020
S1129,Maria,Jones,student129@university.com,Stud 130,1234,Male,20,GE,Bachelor's,5.481000000000001,6.909000000000001,24.98,41.755,15.825,3.5932203389830506,6, Admis   ,2020
S1130,Maria,Williams,student130@university.com,Stud 131,1234,Male,22,GPR,PhD,6.429000000000001,6.2490000000000006,18.811,28.155,11.928800000000004,1.05,5, Echec   ,2020
S1131,Ahmed,Johnson,student131@university.com,Stud 132,1234,Female,21,GPR,PhD,9.347,9.928,19.571,45.9525,16.959699999999998,3.7586206896551726,1, Admis   ,2020
S1132,Ali,Brown,student132@university.com,Stud 133,1234,Female,23,GIT,Bachelor's,5.361000000000001,7.141,23.46,34.775,10.9088,3.984375,6, Echec   ,2020
S1133,Ahmed,Davis,student133@university.com,Stud 134,1234,Male,21,GPR,Bachelor's,9.379,7.071,14.361,49.225,10.5227,2.0701754385964914,3, Echec   ,2020
S1134,Omar,Johnson,student134@university.com,Stud 135,1234,Male,19,GM,Master's,7.620999999999999,7.316,14.807,27.4175,11.4323,2.3174603174603177,8, Echec   ,2020
S1135,Ahmed,Johnson,student135@university.com,Stud 136,1234,Female,24,GAM,Master's,7.041,5.581,16.131,29.6375,11.6781,1.137931034482759,3, Echec   ,2020
S1136,Ali,Johnson,student136@university.com,Stud 137,1234,Male,23,GE,Bachelor's,6.548000000000001,6.965000000000001,14.064,24.3725,10.3899,3.851851851851852,3, Echec   ,2020
S1137,Ali,Williams,student137@university.com,Stud 138,1234,Female,20,GIT,High School,6.486000000000001,6.682,15.890999999999998,39.56,11.3771,2.9589041095890414,7, Echec   ,2020
S1138,Omar,Smith,student138@university.com,Stud 139,1234,Female,19,GAM,Bachelor's,6.529000000000001,7.326,18.158,30.542500000000004,12.511100000000004,1.046875,1, Admis   ,2020
S1139,Ali,Brown,student139@university.com,Stud 140,1234,Male,21,GMP,High School,9.424,9.283,16.675,24.915,10.2552,2.844155844155844,10, Echec   ,2020
S1140,Liam,Smith,student140@university.com,Stud 141,1234,Female,20,GCI,PhD,8.619,5.964,23.65,43.055,16.2576,3.359375,10, Admis   ,2020
S1141,Ali,Smith,student141@university.com,Stud 142,1234,Male,20,QHSEI,High School,8.349,8.039,25.084,27.285,13.751400000000002,1.2291666666666667,8, Admis   ,2020
S1142,Maria,Smith,student142@university.com,Stud 143,1234,Male,22,QHSEI,PhD,8.994,5.188000000000001,21.815,25.5575,12.310900000000002,2.25,4, Admis   ,2020
S1143,Liam,Johnson,student143@university.com,Stud 144,1234,Female,22,GMP,High School,6.2860000000000005,6.5840000000000005,19.113,38.2325,14.043100000000004,2.7432432432432434,5, Admis   ,2020
S1144,Liam,Jones,student144@university.com,Stud 145,1234,Female,18,GCI,Bachelor's,8.090000000000002,7.362999999999999,25.749,22.765,12.7934,2.393939393939394,5, Admis   ,2020
S1145,Omar,Johnson,student145@university.com,Stud 146,1234,Male,22,GP,Master's,7.300000000000001,5.371,23.925,30.51,13.4212,3.353658536585366,4, Admis   ,2020
S1146,John,Johnson,student146@university.com,Stud 147,1234,Female,24,GIT,Bachelor's,8.912,7.720000000000001,24.478000000000005,25.915,13.405,1.4831460674157302,1, Admis   ,2020
S1147,John,Davis,student147@university.com,Stud 148,1234,Male,23,QHSEI,Master's,6.545999999999999,6.552,19.676,37.98,10.1998,1.1166666666666667,3, Echec   ,2020
S1148,Ali,Davis,student148@university.com,Stud 149,1234,Female,20,GP,High School,8.216,9.964,23.755,42.3725,16.8615,3.7586206896551726,8, Admis   ,2020
S1149,Liam,Smith,student149@university.com,Stud 150,1234,Female,22,GIT,Bachelor's,9.411,8.155,13.9,27.995,11.8922,2.576923076923077,2, Echec   ,2020
S1150,John,Johnson,student150@university.com,Stud 151,1234,Male,18,GP,Bachelor's,7.011,6.221,15.741,44.1925,11.7869,4.714285714285714,8, Echec   ,2020
S1151,John,Smith,student151@university.com,Stud 152,1234,Male,21,QHSEI,Bachelor's,5.333,5.513000000000001,17.661,42.1725,11.2095,2.4545454545454546,4, Echec   ,2020
S1152,Ali,Davis,student152@university.com,Stud 153,1234,Male,23,GCI,PhD,7.58,5.204000000000001,26.130000000000003,26.6875,13.1203,2.5689655172413794,9, Admis   ,2020
S1153,John,Jones,student153@university.com,Stud 154,1234,Female,22,QHSEI,PhD,6.73,5.454000000000001,14.294,45.7475,14.445100000000004,2.0625,8, Admis   ,2020
S1154,Ahmed,Brown,student154@university.com,Stud 155,1234,Male,20,GMP,High School,8.361,8.4,15.306,34.715,13.356400000000002,3.533333333333333,8, Admis   ,2020
S1155,Sara,Smith,student155@university.com,Stud 156,1234,Male,21,GE,High School,9.755,9.275,24.887,30.55,11.1924,1.855421686746988,4, Echec   ,2020
S1156,Omar,Jones,student156@university.com,Stud 157,1234,Female,24,GESI,High School,7.428000000000001,5.784000000000001,15.994,29.345,11.7102,5.170212765957447,2, Echec   ,2020
S1157,Sara,Brown,student157@university.com,Stud 158,1234,Female,20,GPR,PhD,7.331,7.011,22.385,36.3725,14.6199,1.7115384615384617,8, Admis   ,2020
S1158,Ali,Williams,student158@university.com,Stud 159,1234,Male,21,GPR,Master's,8.273000000000001,6.771,23.326,35.215,14.717,2.980392156862745,7, Admis   ,2020
